Color	Type	SKU	Description	Base Price
MW	WALL CORNER CABINETS	MW-BLW2742	"Wall blind corner cabinet 27""W x 42""H x 12""D"	113.87
MW	WALL CORNER CABINETS	MW-WDC2430	"Wall diagonal corner cabinet 24""W x 30""H x 12""D"	136.19
MW	WALL CORNER CABINETS	MW-WDC2436	"Wall diagonal corner cabinet 24""W x 36""H x 12""D"	146.71
MW	WALL CORNER CABINETS	MW-WDC2442	"Wall diagonal corner cabinet 24""W x 42""H x 12""D"	168.5
MW	BRIDGE CABINETS	MW-W3012	Wall cabinet 30"W x 12"H x 12"D	60.81
MW	BRIDGE CABINETS	MW-W3015	Wall cabinet 30"W x 15"H x 12"D	67.84
MW	BRIDGE CABINETS	MW-W3018	Wall cabinet 30"W x 18"H x 12"D	73.94
MW	BRIDGE CABINETS	MW-W3024	Wall cabinet 30"W x 24"H x 12"D	88.36
MW	BRIDGE CABINETS	MW-W3612	Wall cabinet 36"W x 12"H x 12"D	66.91
MW	BRIDGE CABINETS	MW-W3615	Wall cabinet 36"W x 15"H x 12"D	72.09
